"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"2","Pre-stressor cortisol","LAZ Year 2","700","-2.51","-1.66","-1.6","-1.52","0.08 (-0.03, 0.2)","0.17"
"3","","WAZ Year 2","700","-2.51","-1.66","-1.81","-1.76","0.05 (-0.07, 0.17)","0.4"
"4","","WLZ Year 2","711","-2.51","-1.66","-1.17","-1.18","0 (-0.09, 0.08)","0.94"
"5","","HCZ Year 2","740","-2.51","-1.66","-1.7","-1.71","-0.01 (-0.09, 0.06)","0.78"
"6","","","","","","","","",""
"7","Post-stressor cortisol","LAZ Year 2","651","-2.06","-0.61","-1.6","-1.57","0.03 (-0.05, 0.1)","0.46"
"8","","WAZ Year 2","651","-2.06","-0.61","-1.73","-1.69","0.03 (-0.13, 0.2)","0.7"
"9","","WLZ Year 2","660","-2.06","-0.6","-1.05","-1.07","-0.02 (-0.2, 0.17)","0.88"
"10","","HCZ Year 2","687","-2.06","-0.61","-1.73","-1.75","-0.02 (-0.16, 0.12)","0.82"
"11","","","","","","","","",""
"12","Pre to post-stress change in cortisol","LAZ Year 2","645","0","0.01","-1.65","-1.62","0.03 (-0.02, 0.08)","0.25"
"13","","WAZ Year 2","645","0","0.01","-1.78","-1.81","-0.03 (-0.16, 0.11)","0.71"
"14","","WLZ Year 2","654","0","0.01","-1.13","-1.2","-0.07 (-0.22, 0.08)","0.37"
"15","","HCZ Year 2","681","0","0.01","-1.65","-1.62","0.03 (-0.07, 0.13)","0.61"
"16","","","","","","","","",""
"17","Cortisol residualized gain score","LAZ Year 2","645","-0.21","0.14","-1.65","-1.62","0.03 (-0.02, 0.08)","0.24"
"18","","WAZ Year 2","645","-0.21","0.14","-1.77","-1.83","-0.06 (-0.13, 0.01)","0.08"
"19","","WLZ Year 2","654","-0.21","0.14","-1.12","-1.23","-0.11 (-0.19, -0.02)","0.01"
"20","","HCZ Year 2","681","-0.21","0.14","-1.7","-1.67","0.03 (-0.08, 0.13)","0.62"
"21","","","","","","","","",""
"22","Pre-stressor sAA","LAZ Year 2","695","3.48","4.64","-1.56","-1.53","0.03 (-0.11, 0.17)","0.7"
"23","","WAZ Year 2","695","3.48","4.64","-1.79","-1.8","-0.01 (-0.07, 0.05)","0.74"
"24","","WLZ Year 2","706","3.48","4.64","-1.21","-1.21","0 (-0.13, 0.13)","0.98"
"25","","HCZ Year 2","735","3.47","4.63","-1.68","-1.69","-0.01 (-0.07, 0.05)","0.84"
"26","","","","","","","","",""
"27","Post-stressor sAA","LAZ Year 2","668","3.89","5.15","-1.55","-1.53","0.02 (-0.04, 0.08)","0.6"
"28","","WAZ Year 2","668","3.89","5.15","-1.75","-1.74","0.02 (-0.04, 0.08)","0.55"
"29","","WLZ Year 2","678","3.89","5.15","-1.28","-1.19","0.09 (-0.07, 0.25)","0.29"
"30","","HCZ Year 2","703","3.88","5.11","-1.69","-1.68","0.01 (-0.05, 0.07)","0.73"
"31","","","","","","","","",""
"32","Pre to post-stress change in sAA","LAZ Year 2","656","-0.08","4.44","-1.63","-1.53","0.1 (-0.04, 0.23)","0.16"
"33","","WAZ Year 2","656","-0.08","4.44","-1.77","-1.77","0 (-0.03, 0.04)","0.87"
"34","","WLZ Year 2","666","-0.08","4.43","-1.19","-1.2","-0.01 (-0.05, 0.03)","0.75"
"35","","HCZ Year 2","691","-0.08","4.33","-1.67","-1.68","-0.01 (-0.04, 0.03)","0.72"
"36","","","","","","","","",""
"37","sAA residualized gain score","LAZ Year 2","657","-51.4","30.95","-1.6","-1.53","0.08 (-0.05, 0.2)","0.23"
"38","","WAZ Year 2","657","-51.4","30.95","-1.78","-1.78","0 (-0.04, 0.04)","0.97"
"39","","WLZ Year 2","667","-51.4","30.33","-1.2","-1.21","-0.01 (-0.06, 0.03)","0.6"
"40","","HCZ Year 2","692","-51.41","26.51","-1.67","-1.68","-0.02 (-0.05, 0.02)","0.42"
