"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Mean arterial pressure","LAZ Year 2","1513","60.78","68.67","-1.39","-1.28","0.11 (0.02, 0.2)","0.01","0.02","-1.53","-1.49","0.04 (-0.03, 0.11)","0.23","0.64"
"4","","WAZ Year 2","1516","60.78","68.67","-1.46","-1.29","0.18 (0.09, 0.27)","0","0","-1.74","-1.71","0.02 (-0.08, 0.12)","0.66","0.76"
"5","","WLZ Year 2","1513","60.78","68.67","-1.05","-0.86","0.19 (0.06, 0.32)","0.01","0.01","-1.25","-1.21","0.04 (-0.07, 0.16)","0.45","0.76"
"6","","HCZ Year 2","1512","60.78","68.67","-1.8","-1.75","0.05 (-0.04, 0.14)","0.29","0.29","-1.52","-1.5","0.02 (-0.02, 0.06)","0.24","0.64"
"7","","","","","","","","","","","","","","",""
"8","Mean resting heart rate","LAZ Year 2","1515","99.33","118.67","-1.27","-1.42","-0.15 (-0.26, -0.04)","0.01","0.02","-1.53","-1.52","0.01 (-0.03, 0.05)","0.56","0.76"
"9","","WAZ Year 2","1519","99.33","118.67","-1.3","-1.52","-0.22 (-0.35, -0.08)","0","0.01","-1.73","-1.72","0.01 (-0.03, 0.05)","0.66","0.76"
"10","","WLZ Year 2","1515","99.33","118.67","-0.89","-1.06","-0.17 (-0.3, -0.04)","0.01","0.02","-1.25","-1.25","0 (-0.05, 0.05)","0.96","0.96"
"11","","HCZ Year 2","1513","99.33","118.67","-1.84","-1.81","0.03 (-0.03, 0.09)","0.29","0.29","-1.55","-1.5","0.05 (0, 0.09)","0.07","0.53"
